MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,Current Price
PAPH901624,RES,CLS,3160 Custer St,Philadelphia,"Philadelphia, PA",3,1,Row/Townhouse,6/1/2020,"$125,000 "
PAPH901518,RES,CLS,3340 Chesterfield Rd,Philadelphia,"Philadelphia, PA",3,1-Jan,Twin/Semi-Detached,6/5/2020,"$262,250 "
PAPH900956,RES,CLS,200-10 Lombard St #749,Philadelphia,"Philadelphia, PA",1,Jan-00,Unit/Flat/Apartment,6/2/2020,"$235,000 "
PAPH898726,RES,CLS,12536 Deer Run Rd,Philadelphia,"Philadelphia, PA",3,1-Jan,Row/Townhouse,5/28/2020,"$220,800 "
PAPH880294,RES,CLS,1906 Bainbridge St,Philadelphia,"Philadelphia, PA",3,1,Detached,5/14/2020,"$475,000 "
PAPH895000,RES,CLS,5170 Reno St,Philadelphia,"Philadelphia, PA",3,1,Row/Townhouse,5/29/2020,"$85,000 "
PAPH894166,RES,CLS,5348 W Columbia Ave,Philadelphia,"Philadelphia, PA",3,1,Row/Townhouse,6/5/2020,"$74,000 "
PAPH892766,RES,CLS,6203 Callowhill St,Philadelphia,"Philadelphia, PA",5,2,Row/Townhouse,6/4/2020,"$49,999 "
PAPH876994,RES,CLS,544 Hermitage St,Philadelphia,"Philadelphia, PA",4,1-Feb,Detached,5/29/2020,"$406,000 "
PAPH892824,RES,CLS,210 E Allegheny Ave,Philadelphia,"Philadelphia, PA",3,1,Row/Townhouse,6/1/2020,"$45,000 "
PAPH878604,RES,CLS,655 E Wishart St,Philadelphia,"Philadelphia, PA",3,1,Row/Townhouse,5/5/2020,"$37,500 "
PAPH878574,RES,CLS,304 E Ontario St,Philadelphia,"Philadelphia, PA",3,1,Row/Townhouse,5/5/2020,"$37,500 "
PAPH878584,RES,CLS,3337 Argyle St,Philadelphia,"Philadelphia, PA",2,1,Row/Townhouse,5/5/2020,"$37,500 "
PAPH878580,RES,CLS,3328 Argyle St,Philadelphia,"Philadelphia, PA",3,1,Row/Townhouse,5/5/2020,"$37,500 "
PAPH878610,RES,CLS,3142 Arbor St,Philadelphia,"Philadelphia, PA",3,1,Row/Townhouse,5/5/2020,"$37,500 "
PAPH878570,RES,CLS,2806 Boudinot St,Philadelphia,"Philadelphia, PA",3,1,Row/Townhouse,5/5/2020,"$37,500 "
PAPH892118,RES,CLS,1301 W Lippincott St,Philadelphia,"Philadelphia, PA",2,1,Twin/Semi-Detached,6/1/2020,"$20,000 "
PAPH892236,RES,CLS,8141 Lister St,Philadelphia,"Philadelphia, PA",3,1-Jan,Twin/Semi-Detached,5/1/2020,"$285,000 "
PAPH892180,RES,CLS,2001 Hamilton St #818,Philadelphia,"Philadelphia, PA",2,1,Unit/Flat/Apartment,5/1/2020,"$338,000 "
PAPH889330,RES,CLS,1336 S Bouvier St #B,Philadelphia,"Philadelphia, PA",3,2,Row/Townhouse,5/14/2020,"$345,000 "
PAPH891932,RES,CLS,417 W George St,Philadelphia,"Philadelphia, PA",3,Jan-00,Row/Townhouse,6/5/2020,"$315,000 "
PAPH891512,RES,CLS,1246 Frankford Ave #3,Philadelphia,"Philadelphia, PA",2,1-Feb,Unit/Flat/Apartment,6/5/2020,"$450,000 "
PAPH891872,RES,CLS,1828 S 16th St,Philadelphia,"Philadelphia, PA",3,2,Row/Townhouse,4/30/2020,"$180,000 "
PAPH891816,RES,CLS,520 Fountain St,Philadelphia,"Philadelphia, PA",3,1-Jan,Twin/Semi-Detached,5/13/2020,"$309,000 "
PAPH891752,RES,CLS,2836 Gaul St,Philadelphia,"Philadelphia, PA",2,Jan-00,Row/Townhouse,6/4/2020,"$255,000 "
