,Address,Structure Type,Status Contractual Search Date,Current Price,Latitude,Longitude
0,3160 Custer St,Row/Townhouse,2020-06-01,125000,39.99625124489796,-75.11665651020408
1,3340 Chesterfield Rd,Twin/Semi-Detached,2020-06-05,262250,40.07406461436046,-74.99500877422841
3,12536 Deer Run Rd,Row/Townhouse,2020-05-28,220800,40.09396534644788,-74.97175756451767
4,1906 Bainbridge St,Detached,2020-05-14,475000,39.943722489795924,-75.1739198979592
5,5170 Reno St,Row/Townhouse,2020-05-29,85000,39.96621448395206,-75.22404769640953
6,5348 W Columbia Ave,Row/Townhouse,2020-06-05,74000,39.98256592985555,-75.23005476311388
7,6203 Callowhill St,Row/Townhouse,2020-06-04,49999,39.968690461538465,-75.24361969230769
8,544 Hermitage St,Detached,2020-05-29,406000,40.03741251842915,-75.21735767720186
9,210 E Allegheny Ave,Row/Townhouse,2020-06-01,45000,39.99815784615385,-75.12696253846154
10,655 E Wishart St,Row/Townhouse,2020-05-05,37500,39.99671273469387,-75.11836255102041
11,304 E Ontario St,Row/Townhouse,2020-05-05,37500,40.00101522222222,-75.12452788888889
12,3337 Argyle St,Row/Townhouse,2020-05-05,37500,39.99851114285714,-75.11174897959184
13,3328 Argyle St,Row/Townhouse,2020-05-05,37500,39.998438,-75.11198242857142
14,3142 Arbor St,Row/Townhouse,2020-05-05,37500,39.99681328571429,-75.12300585714286
15,2806 Boudinot St,Row/Townhouse,2020-05-05,37500,39.99182690909091,-75.12358554545455
16,1301 W Lippincott St,Twin/Semi-Detached,2020-06-01,20000,40.000507,-75.151061
17,8141 Lister St,Twin/Semi-Detached,2020-05-01,285000,40.05588670641401,-75.04003704105901
19,1336 S Bouvier St #B,Row/Townhouse,2020-05-14,345000,39.934422673469385,-75.17362146938775
20,417 W George St,Row/Townhouse,2020-06-05,315000,39.96812933333333,-75.14426433333333
21,1246 Frankford Ave #3,Unit/Flat/Apartment,2020-06-05,450000,40.0387939,-75.0353325
22,1828 S 16th St,Row/Townhouse,2020-04-30,180000,39.928072,-75.172346
23,520 Fountain St,Twin/Semi-Detached,2020-05-13,309000,40.038858166666664,-75.22137616666667
24,2836 Gaul St,Row/Townhouse,2020-06-04,255000,39.9826812,-75.1136526
